Date,Type,Area,Ward,Candidate,Position,Votes,Won
October 26 1983,General Election,Elmwood,,Alf SKOWRON,Office of Councillor,3110,Yes
October 26 1995,General Election,Fort Garry School Division,3,Tom WALKER,Office of School Trustee,757,No
October 25 2006,General Election,Fort Rouge-East Fort Garry,,Jenny GERBASI,Office of Councillor,8373,Yes
October 22 2014,General Election,St. Boniface,,Paul NAJDA,Office of Councillor,775,No
October 26 1983,General Election,Winnipeg,,Brian CORRIN,Office of Mayor,40073,No
October 27 2010,General Election,Louis Riel School Division,1,Gary GERVAIS,Office of School Trustee,3853,Yes
October 26 1989,General Election,Glenlawn,,Frank CLARK,Office of Councillor,1082,No
October 27 2010,General Election,River East Transcona School Division,5,Michael HAMM,Office of School Trustee,1350,No
October 23 2002,General Election,Winnipeg School Division,3,Alana BROWNLEE,Office of School Trustee,2820,No
October 26 1995,General Election,River Heights,,Garth STEEK,Office of Councillor,6864,Yes
October 22 1986,General Election,Fort Garry School Division,4,Don MURRAY,Office of School Trustee,697,Yes
October 26 1989,General Election,Point Douglas,,WM. HAWRYLUK,Office of Councillor,200,No
October 22 1986,General Election,Winnipeg School Division,1,Tom SKIDMORE,Office of School Trustee,1032,No
October 28 1992,General Election,St. Boniface School Division,,Ila PATTERSON,Office of School Trustee,4761,No
October 23 1974,General Election,St. Vital School Division,,Glen COLQUHOUN,Office of School Trustee,2158,No
October 27 2010,General Election,St. Vital,,Gord STEEVES,Office of Councillor,14960,Yes
October 26 1983,General Election,Norquay,,Wayne ANDERSON,Office of Councillor,1424,No
October 23 1974,General Election,River East School Division,1,Allan MCKEEVER,Office of School Trustee,1191,No
October 25 2006,General Election,Winnipeg School Division,2,Marshall MURDOCK,Office of School Trustee,2450,No
October 22 2014,General Election,St. Charles,,Geoff BORDEN,Office of Councillor,244,No
October 28 1998,General Election,St. Boniface School Division,3,Candice MINCH,Office of School Trustee,1327,No
October 26 1995,General Election,St. Norbert,,John ANGUS,Office of Councillor,11301,Yes
October 23 1974,General Election,Transcona-Springfield School Division,1,Mary ANDREE,Office of School Trustee,3014,Yes
October 26 1977,General Election,Norwood School Division,,Peter FERRIS,Office of School Trustee,1752,No
October 25 2006,General Election,St. James-Assiniboia School Division,Kirkfield-St. Charles Ward,Denyse LAMBERT,Office of School Trustee,2017,No
October 22 2014,General Election,Winnipeg School Division,1,Sheri OBERMAN,Office of School Trustee,784,No
October 25 2006,General Election,Louis Riel School Division,2,Zenon ZALUCKY,Office of School Trustee,1358,No
October 23 2002,General Election,Winnipeg School Division,1,John ORLIKOW,Office of School Trustee,7726,Yes
October 26 1977,General Election,St. James-Assiniboia School Division,Silver Heights-Booth Ward,Ron JOHNSON,Office of School Trustee,4905,Yes
