Date,Type,Area,Ward,Candidate,Position,Votes,Won
October 23 1974,General Election,Miles MacDonnell,,Patrick ERSKINE,Office of Councillor,562,No
October 26 1995,General Election,Fort Garry School Division,1,Paul SVEINSON,Office of School Trustee,724,No
October 23 1974,General Election,Roslyn,,June WESTBURY,Office of Councillor,1702,Yes
October 23 2002,General Election,St. Charles,,Shawn DOBSON,Office of Councillor,5001,No
October 25 2006,General Election,Old Kildonan,,Ross EADIE,Office of Councillor,4107,No
October 25 2006,General Election,St. James-Assiniboia School Division,King Edward-Deer Lodge Ward,Stefan JONASSON,Office of School Trustee,1813,No
October 27 2010,General Election,Pembina Trails School Division,2,Tina STRONG,Office of School Trustee,4114,No
October 23 1974,General Election,Winnipeg School Division,2,Vi ROWLAND,Office of School Trustee,2054,No
October 26 1989,General Election,River East School Division,1,Gail SCHEER,Office of School Trustee,2378,Yes
October 26 1977,General Election,University,,Stanley WYLYNKO,Office of Councillor,1004,No
October 22 1986,General Election,Assiniboine South School Division,3,Jane MACDIARMID,Office of School Trustee,1002,Yes
October 26 1977,General Election,Kildonan Park,,Mike O'SHAUGHNESSY,Office of Councillor,1694,Yes
October 26 1989,General Election,Sisler,,Chris LORENC,Office of Councillor,2139,Yes
October 26 1977,General Election,St. Vital School Division,,Theresa LYNCH,Office of School Trustee,2878,No
October 22 2014,General Election,Daniel McIntyre,,Dave DONALDSON,Office of Councillor,664,No
October 23 1974,General Election,Norquay,,Harold DYCK,Office of Councillor,447,No
October 23 1974,General Election,Mynarski,,Ed KOWALCHUK,Office of Councillor,1516,No
October 27 2010,General Election,St. Vital,,Harry WOLBERT,Office of Councillor,3207,No
October 26 1983,General Election,Winnipeg School Division,2,Rachael HOLDER,Office of School Trustee,3444,No
October 22 2014,General Election,Charleswood-Tuxedo,,Marty MORANTZ,Office of Councillor,6281,Yes
October 28 1992,General Election,St. Boniface,,Evelyne REESE,Office of Councillor,9610,Yes
October 22 2014,General Election,Winnipeg School Division,8,Tracy BALL,Office of School Trustee,627,No
October 27 2010,General Election,River East Transcona School Division,5,Marie ANTAYA,Office of School Trustee,1327,No
October 22 2014,General Election,River East Transcona School Division,1,Colleen CARSWELL,Office of School Trustee,3689,Yes
October 23 2002,General Election,Louis Riel School Division,1,Tricia BARNABE,Office of School Trustee,3069,Yes
October 26 1983,General Election,Memorial,,Harold TAYLOR,Office of Councillor,3181,Yes
October 26 1989,General Election,Point Douglas,,Terry WACHNIAK,Office of Councillor,638,No
October 26 1983,General Election,Transcona-Springfield School Division,2,Karen WATSON,Office of School Trustee,1701,Yes
October 22 1986,General Election,St. James-Assiniboia School Division,Silver Heights-Booth Ward,Douglas BANNERMAN,Office of School Trustee,1638,No
October 26 1983,General Election,Winnipeg School Division,3,Mary KARDASH,Office of School Trustee,8137,Yes
October 26 1977,General Election,Pembina,,C. SANTOS,Office of Councillor,502,No
October 28 1992,General Election,North Kildonan,,Filippo PALMISANI,Office of Councillor,209,No
October 26 1983,General Election,Transcona-Springfield School Division,2,Robert LEE,Office of School Trustee,854,No
October 28 1998,General Election,St. Vital School Division,,Gord STEEVES,Office of School Trustee,12531,Yes
October 26 1989,General Election,River East School Division,3,Brian OLYNIK,Office of School Trustee,2299,Yes
October 26 1989,General Election,Charleswood,,Bill CLEMENT,Office of Councillor,3413,Yes
October 26 1995,General Election,Norwood School Division,,Pat MARTIN,Office of School Trustee,1827,No
October 26 1995,General Election,River East School Division,3,Ron SCHULER,Office of School Trustee,5745,Yes
October 23 1974,General Election,Norwood School Division,,Stanley KOLT,Office of School Trustee,1207,No
October 23 2002,General Election,Louis Riel School Division,3,Brian KEEN,Office of School Trustee,991,No
October 22 1986,General Election,Winnipeg School Division,2,Mario SANTOS,Office of School Trustee,4123,Yes
October 26 1983,General Election,Assiniboine South School Division,3,Jack HUNT,Office of School Trustee,1638,Yes
October 26 1989,General Election,St. Boniface School Division,,Betty BRAND,Office of School Trustee,3057,No
October 23 1974,General Election,Dakota,,Albert HELLER,Office of Councillor,685,No
October 27 2010,General Election,Charleswood-Tuxedo,,Paula HAVIXBECK,Office of Councillor,4190,Yes
October 22 2014,General Election,River East Transcona School Division,1,Sandy OWCZAR,Office of School Trustee,1382,No
October 22 2014,General Election,Mynarski,,Ross EADIE,Office of Councillor,6565,Yes
October 26 1995,General Election,Transcona-Springfield School Division,2,George MARSHALL,Office of School Trustee,2614,Yes
October 22 1986,General Election,Transcona-Springfield School Division,,Linda LEBLANC,Office of School Trustee,938,No
October 05 2000,By-Election,St. Vital,,Sarah KITCHER,Office of Councillor,60,No
October 28 1992,General Election,Seven Oaks School Division,3,Michael SAWKA,Office of School Trustee,4713,Yes
October 28 1992,General Election,Winnipeg,,Bryan R. BENSON,Office of Mayor,491,No
October 26 1995,General Election,River East School Division,2,John JARMAN,Office of School Trustee,1284,No
October 26 1995,General Election,Old Kildonan,,Mario DUCUSIN,Office of Councillor,551,No
October 22 1986,General Election,Sargent Park,,Anthony MOREAU,Office of Councillor,427,No
October 26 1977,General Election,St. James-Assiniboia School Division,Silver Heights-Booth Ward,George EAKIN,Office of School Trustee,4229,Yes
October 22 1986,General Election,Winnipeg School Division,1,Celine MCMAHON,Office of School Trustee,3629,No
October 22 2014,General Election,Louis Riel School Division,3,Carlene RUMMERY,Office of School Trustee,5149,No
October 26 1977,General Election,Seven Oaks School Division,3,Murry YARISH,Office of School Trustee,1851,No
October 22 2014,General Election,St. James-Assiniboia School Division,Silver Heights-Booth Ward,John MULLIGAN,Office of School Trustee,3738,Yes
October 26 1995,General Election,Seven Oaks School Division,3,Michael SHUSTER,Office of School Trustee,1639,No
October 22 1986,General Election,Transcona,,Gordon KOOPER,Office of Councillor,713,No
October 26 1989,General Election,St. Vital School Division,,Jim BUCHANAN,Office of School Trustee,4897,Yes
October 26 1995,General Election,Winnipeg School Division,2,Jim G. SMITH,Office of School Trustee,519,No
October 22 1986,General Election,River East School Division,2,Peter GRAHAM,Office of School Trustee,2205,Yes
October 22 2014,General Election,Winnipeg,,Robert-Falcon OUELLETTE,Office of Mayor,36823,No
October 26 1989,General Election,Assiniboine South School Division,2,Rita STOCK,Office of School Trustee,1376,No
October 22 1986,General Election,Winnipeg School Division,1,Maurice PANKHURST,Office of School Trustee,1189,No
October 28 1992,General Election,Winnipeg School Division,1,Lionel ORLIKOW,Office of School Trustee,10069,Yes
October 26 1989,General Election,Redboine,,John CARDOSO,Office of Councillor,576,No
October 28 1998,General Election,Daniel McIntyre,,Ted MARCELINO,Office of Councillor,2412,No
October 28 1998,General Election,Transcona-Springfield School Division,2,Eric STEARNS,Office of School Trustee,666,No
June 22 2004,By-Election,St. Boniface,,Franco MAGNIFICO,Office of Councillor,7610,Yes
October 26 1983,General Election,St. Vital School Division,,Hilton ESTABROOK,Office of School Trustee,2629,No
October 23 1974,General Election,Cockburn,,Robert JOHANNSON,Office of Councillor,1301,Yes
October 28 1998,General Election,Winnipeg,,Wally WELENCHENKO,Office of Mayor,1732,No
October 26 1989,General Election,Elmwood,,Lillian THOMAS,Office of Councillor,2382,Yes
October 26 1977,General Election,Redboine,,Robert STEEN,Office of Councillor,1440,No
October 22 1986,General Election,Winnipeg School Division,3,Ed KOWALCHUK,Office of School Trustee,6001,Yes
October 28 1992,General Election,St. Vital,,Allan GOLDEN,Office of Councillor,8133,Yes
October 26 1989,General Election,River-Osborne,,Herman HOLLA,Office of Councillor,40,No
October 22 1986,General Election,Winnipeg School Division,3,Isobel SUDOL,Office of School Trustee,3866,Yes
October 26 1989,General Election,Sisler,,Peter SMALL,Office of Councillor,2135,No
October 22 1986,General Election,Seven Oaks School Division,3,Michael SAWKA,Office of School Trustee,2939,Yes
October 26 1995,General Election,Winnipeg School Division,3,Lou FERNANDEZ,Office of School Trustee,3790,No
October 27 2010,General Election,St. Norbert,,Louise MAY,Office of Councillor,6892,No
October 22 2014,General Election,Pembina Trails School Division,1,Darren CHRISTLE,Office of School Trustee,3218,No
October 27 2010,General Election,Point Douglas,,Dean KOSHELANYK,Office of Councillor,1860,No
November 05 2016,By-Election,Winnipeg School Division,7,Jane PAGUIO,Office of School Trustee,173,No
October 23 2002,General Election,Pembina Trails School Division,3,Jacquie FIELD,Office of School Trustee,4864,Yes
October 22 1986,General Election,St. James-Assiniboia School Division,King Edward-Deer Lodge Ward,Eric JONASSON,Office of School Trustee,1739,Yes
October 26 1989,General Election,St. Boniface School Division,,Hugh COBURN,Office of School Trustee,3988,Yes
October 26 1977,General Election,Assiniboine South School Division,2,Mary BENNETT,Office of School Trustee,1010,No
October 26 1995,General Election,Transcona-Springfield School Division,2,Jack LANG,Office of School Trustee,898,No
October 26 1989,General Election,Assiniboine South School Division,2,Nancy WHEATLEY,Office of School Trustee,2201,Yes
October 22 1986,General Election,Fort Garry School Division,4,Ray WYANT,Office of School Trustee,906,Yes
October 23 1974,General Election,River East School Division,1,James BATY,Office of School Trustee,1824,Yes
October 25 2006,General Election,Winnipeg School Division,1,John ORLIKOW,Office of School Trustee,10014,Yes
October 26 1989,General Election,Springfield Heights,,Shirley TIMM-RUDOLPH,Office of Councillor,2488,Yes
October 22 1986,General Election,Grant's Mill,,Bill HALLONQUIST,Office of Councillor,1944,No
October 26 1995,General Election,Transcona-Springfield School Division,1,Gerald BASARAB,Office of School Trustee,2184,No
October 25 2006,General Election,River East Transcona School Division,5,Brian OLYNIK,Office of School Trustee,4320,Yes
October 26 1989,General Election,St. Charles,,George FRASER,Office of Councillor,2584,Yes
October 26 1983,General Election,St. James-Assiniboia School Division,King Edward-Deer Lodge Ward,Edie DANIELS,Office of School Trustee,1359,No
October 23 1974,General Election,River East School Division,3,William CARROLL,Office of School Trustee,638,No
October 23 1974,General Election,Maybank,,Pat CROWE,Office of Councillor,649,No
October 22 1986,General Election,Assiniboine South School Division,2,Bob BILL,Office of School Trustee,680,No
October 23 1974,General Election,Ross House,,Ken WONG,Office of Councillor,811,Yes
October 22 1986,General Election,Sargent Park,,Rockwell HUNTER,Office of Councillor,288,No
October 28 1998,General Election,Daniel McIntyre,,Amaro SILVA,Office of Councillor,3245,No
October 26 1989,General Election,Point Douglas,,Roy PRICE,Office of Councillor,115,No
October 26 1977,General Election,River East School Division,3,Don MITCHELSON,Office of School Trustee,2870,Yes
October 26 1995,General Election,Elmwood,,Michael KEATING,Office of Councillor,451,No
October 26 1989,General Election,Daniel McIntyre,,Colin TRIGWELL,Office of Councillor,1276,No
October 26 1989,General Election,Seven Oaks School Division,2,Judy SILVER,Office of School Trustee,2847,Yes
October 28 1998,General Election,Winnipeg School Division,1,Colin NICOLSON,Office of School Trustee,2105,No
October 26 1977,General Election,St. Vital School Division,,Roger COLLET,Office of School Trustee,3959,Yes
October 26 1983,General Election,Transcona-Springfield School Division,1,Mary ANDREE,Office of School Trustee,3334,Yes
October 28 1998,General Election,Mynarski,,Harry LAZARENKO,Office of Councillor,7454,Yes
October 23 2002,General Election,Transcona,,Russ WYATT,Office of Councillor,7270,Yes
October 23 1974,General Election,Queenston,,Warren STEEN,Office of Councillor,1604,Yes
October 26 1977,General Election,Assiniboine South School Division,2,Dave MORRIS,Office of School Trustee,1416,Yes
October 22 2014,General Election,Louis Riel School Division,4,Jeremy FRIESEN,Office of School Trustee,3704,No
October 28 1992,General Election,St. Charles,,Ed MANDRAKE,Office of Councillor,1716,No
October 28 1992,General Election,St. Vital School Division,,Marilyn SEGUIRE,Office of School Trustee,9852,Yes
October 22 1986,General Election,St. Boniface School Division,,Jim GARWOOD,Office of School Trustee,3266,No
October 26 1983,General Election,St. James-Assiniboia School Division,Kirkfield-St. Charles Ward,Pat PHILLIPS,Office of School Trustee,4441,Yes
October 26 1983,General Election,River East School Division,2,Khalid MAHMOOD,Office of School Trustee,169,No
October 28 1998,General Election,Winnipeg School Division,1,Alan GREENBERG,Office of School Trustee,3382,No
October 28 1992,General Election,Transcona-Springfield School Division,2,Alfred STEWART,Office of School Trustee,672,No
October 26 1977,General Election,St. Vital School Division,,Bill HUTTON,Office of School Trustee,3924,Yes
October 26 1977,General Election,Stevenson,,Pearl MCGONIGAL,Office of Councillor,4166,Yes
October 26 1989,General Election,Assiniboine South School Division,3,Leona SCHROEDER,Office of School Trustee,821,No
October 28 1992,General Election,Fort Garry School Division,3,Liz FOSTER,Office of School Trustee,3457,Yes
October 23 1974,General Election,St. Boniface School Division,,Lloyd DAVIS,Office of School Trustee,2346,Yes
October 25 2006,General Election,River East Transcona School Division,5,Lori CHROL,Office of School Trustee,3987,No
October 26 1989,General Election,Transcona-Springfield School Division,1,Mary ANDREE,Office of School Trustee,2280,Yes
October 26 1989,General Election,St. Vital School Division,,Joy WRIGHT,Office of School Trustee,5344,Yes
October 27 2010,General Election,Winnipeg School Division,2,Kristine BARR,Office of School Trustee,8497,Yes
October 28 1992,General Election,Winnipeg School Division,1,Anita NEVILLE,Office of School Trustee,12863,Yes
October 28 1998,General Election,North Kildonan,,Rudy DERKSEN,Office of Councillor,6116,No
October 26 1989,General Election,Redboine,,Joseph YUEN,Office of Councillor,767,Yes
October 27 2010,General Election,Seven Oaks School Division,2,Dennis RUGGLES,Office of School Trustee,3912,No
October 22 2014,General Election,Daniel McIntyre,,Harvey SMITH,Office of Councillor,3284,No
October 22 2014,General Election,Pembina Trails School Division,2,Sheila BILLINGHURST,Office of School Trustee,6837,Yes
October 26 1983,General Election,St. Charles,,Max MELNYK,Office of Councillor,1183,No
October 28 1998,General Election,St. Vital,,Paul SVEINSON,Office of Councillor,1498,No
October 26 1989,General Election,Riel House,,Doreen DEMARE,Office of Councillor,0,Yes
October 22 1986,General Election,Fort Garry School Division,3,Jeanine HUGHES,Office of School Trustee,1535,Yes
October 27 2010,General Election,St. James-Assiniboia School Division,Kirkfield-St. Charles Ward,Ted HULL,Office of School Trustee,2455,No
October 28 1998,General Election,Transcona-Springfield School Division,2,George MARSHALL,Office of School Trustee,1994,No
October 23 1974,General Election,Winnipeg School Division,3,Mary KARDASH,Office of School Trustee,4530,No
October 26 1977,General Election,Norquay,,Harry LAZARENKO,Office of Councillor,1501,No
October 22 1986,General Election,Seven Oaks School Division,3,Guy BERTHOLET,Office of School Trustee,540,No
October 28 1998,General Election,River East School Division,1,Rod GIESBRECHT,Office of School Trustee,4542,Yes
October 22 2014,General Election,Louis Riel School Division,4,Tom PARKER,Office of School Trustee,5334,Yes
October 27 2010,General Election,St. James-Assiniboia School Division,Kirkfield-St. Charles Ward,Sandy LETHBRIDGE,Office of School Trustee,3258,Yes
October 26 1995,General Election,Winnipeg School Division,1,Shawn PRICE,Office of School Trustee,4803,No
October 28 1992,General Election,Winnipeg School Division,3,Debi Ann SPENCE,Office of School Trustee,4948,No
October 26 1989,General Election,St. Boniface School Division,,Anita CHAPMAN,Office of School Trustee,4490,Yes
October 26 1989,General Election,Winnipeg School Division,1,Anita NEVILLE,Office of School Trustee,10174,Yes
October 23 2002,General Election,St. James-Assiniboia School Division,Kirkfield-St. Charles Ward,Linda ARCHER,Office of School Trustee,5561,Yes
October 26 1983,General Election,St. Vital School Division,,Peter KAUFMANN,Office of School Trustee,5552,Yes
October 22 1986,General Election,Norquay,,Mike GIDORA,Office of Councillor,965,No
October 26 1983,General Election,River East School Division,1,Pat WALLY,Office of School Trustee,3897,Yes
October 28 1992,General Election,Assiniboine South School Division,1,Wendy MOROZ,Office of School Trustee,0,Yes
October 28 1992,General Election,St. Vital School Division,,Bob BRUCE,Office of School Trustee,9847,Yes
October 22 1986,General Election,Seine Valley,,R.A. BANKS,Office of Councillor,192,No
October 26 1989,General Election,Assiniboine South School Division,2,Val SMYTH,Office of School Trustee,1657,No
October 28 1998,General Election,Winnipeg School Division,3,Sonia DERBECKER,Office of School Trustee,4064,No
October 27 2010,General Election,Pembina Trails School Division,2,David JOHNSON,Office of School Trustee,7625,Yes
October 25 2006,General Election,Pembina Trails School Division,2,Craig RITCHIE,Office of School Trustee,4717,No
October 22 1986,General Election,Seven Oaks School Division,2,M. BHULLAR,Office of School Trustee,790,No
October 28 1992,General Election,St. Vital School Division,,Barbara CAPE,Office of School Trustee,9190,Yes
October 22 1986,General Election,River East School Division,1,Gail SCHEER,Office of School Trustee,0,Yes
October 26 1977,General Election,Fort Garry School Division,3,Nora HARVEY,Office of School Trustee,1988,Yes
October 26 1995,General Election,St. Boniface School Division,,Anita CHAPMAN,Office of School Trustee,7811,Yes
October 25 2006,General Election,North Kildonan,,Jeff BROWATY,Office of Councillor,6820,Yes
October 26 1995,General Election,St. James-Assiniboia School Division,Kirkfield-St. Charles Ward,Gordon ASKEW,Office of School Trustee,2006,No
October 22 1986,General Election,Assiniboine South School Division,3,Jack HUNT,Office of School Trustee,686,Yes
October 23 1974,General Election,St. Boniface School Division,,Camille LE GAL,Office of School Trustee,2576,Yes
October 26 1983,General Election,Sisler,,Bernie LANG,Office of Councillor,726,No
October 26 1989,General Election,Transcona-Springfield School Division,2,Karen WATSON,Office of School Trustee,0,Yes
October 25 2006,General Election,Winnipeg School Division,1,Joyce BATEMAN,Office of School Trustee,11360,Yes
October 26 1989,General Election,Seven Oaks School Division,3,Derwyn DAVIES,Office of School Trustee,2089,No
October 23 2002,General Election,St. James-Assiniboia School Division,Silver Heights-Booth Ward,Ron MARSHALL,Office of School Trustee,4742,Yes
October 23 1974,General Election,St. James-Assiniboia School Division,,George MCALLISTER,Office of School Trustee,2605,No
October 26 1989,General Election,St. James-Assiniboia School Division,King Edward-Deer Lodge Ward,Bruce ALEXANDER,Office of School Trustee,2716,Yes
October 22 2014,General Election,Winnipeg School Division,1,Paul GUISE,Office of School Trustee,661,No
October 22 1986,General Election,Mynarski,,Norm FONTAINE,Office of Councillor,297,No
October 28 1998,General Election,Fort Rouge,,Jenny GERBASI,Office of Councillor,6342,Yes
October 23 1974,General Election,Seven Oaks School Division,3,Avrom KUSHNER,Office of School Trustee,2291,Yes
October 26 1995,General Election,St. Vital,,John PARRY,Office of Councillor,2940,No
October 26 1995,General Election,Winnipeg School Division,2,Fred PAULS,Office of School Trustee,1677,No
October 22 1986,General Election,Norwood School Division,,Brenda LESLIE,Office of School Trustee,1521,Yes
October 23 1974,General Election,Norwood School Division,,Bruce SAMSON,Office of School Trustee,910,No
November 26 2011,By-Election,Louis Riel School Division,2,Edna SEARS,Office of School Trustee,729,No
October 22 2014,General Election,Pembina Trails School Division,1,Jaime GLENAT,Office of School Trustee,4822,Yes
October 27 2010,General Election,Winnipeg School Division,3,Mike BABINSKY,Office of School Trustee,12017,Yes
October 25 2006,General Election,Pembina Trails School Division,1,Warren THOMPSON,Office of School Trustee,2766,No
October 28 1998,General Election,Winnipeg School Division,2,Florencio ANTONIO,Office of School Trustee,4367,No
October 26 1983,General Election,Winnipeg School Division,2,Florencio ANTONIO,Office of School Trustee,2437,No
October 26 1977,General Election,Fort Garry School Division,3,John BJORE,Office of School Trustee,864,No
October 26 1995,General Election,Fort Garry School Division,1,Nancy READ,Office of School Trustee,1590,Yes
June 22 2004,By-Election,River Heights-Fort Garry,,Elaine COWAN,Office of Councillor,3897,No
October 25 2006,General Election,Louis Riel School Division,4,Chris WILSON,Office of School Trustee,2333,No
October 22 1986,General Election,Redboine,,Magnus ELIASON,Office of Councillor,1503,Yes
October 26 1983,General Election,St. Boniface School Division,,Henri GRIMARD,Office of School Trustee,4191,No
October 25 2006,General Election,Seven Oaks School Division,3,Richard SAWKA,Office of School Trustee,2781,Yes
October 28 1992,General Election,River East School Division,1,Helen MAYBA,Office of School Trustee,4475,Yes
October 23 1974,General Election,Winnipeg School Division,1,Margaret TROTT,Office of School Trustee,12428,Yes
October 27 2010,General Election,Fort Rouge-East Fort Garry,,Shane NESTRUCK,Office of Councillor,1189,No
October 26 1977,General Election,Winnipeg School Division,1,Tom MCLAUCHLAN,Office of School Trustee,2567,No
October 23 1974,General Election,Cockburn,,Joyce SOLONECKI,Office of Councillor,604,No
June 20 1979,By-Election,Winnipeg,,Harry LAZARENKO,Office of Mayor,648,No
October 23 1974,General Election,John Gunn,,John TORRINGA,Office of Councillor,386,No
October 22 1986,General Election,St. Vital School Division,,Jim GOSMAN,Office of School Trustee,1730,No
October 28 1998,General Election,St. Vital School Division,,Neil VADEBONCOEUR,Office of School Trustee,10139,Yes
October 28 1998,General Election,Winnipeg School Division,1,Betty GRANGER,Office of School Trustee,5563,Yes
October 26 1989,General Election,Winnipeg School Division,2,Deb FOSTER,Office of School Trustee,3710,No
October 26 1989,General Election,Winnipeg School Division,2,Enid GILLESPIE,Office of School Trustee,5150,Yes
October 23 2002,General Election,Winnipeg School Division,2,Dwight MACNEIL,Office of School Trustee,4805,No
October 28 1998,General Election,Winnipeg School Division,3,Mike BABINSKY,Office of School Trustee,10964,Yes
October 26 1983,General Election,Grant's Mill,,Jim ERNST,Office of Councillor,0,Yes
October 22 2014,General Election,Mynarski,,Dave CAPAR,Office of Councillor,381,No
October 23 1974,General Election,Winakwa,,Evelyne REESE,Office of Councillor,1847,Yes
October 22 2014,General Election,Elmwood-East Kildonan,,Jason CUMMING,Office of Councillor,638,No
October 22 1986,General Election,St. James-Assiniboia School Division,Kirkfield-St. Charles Ward,Pat PHILLIPS,Office of School Trustee,3633,Yes
October 23 1974,General Election,Strathcona,,Harry LAZARENKO,Office of Councillor,921,Yes
October 22 1986,General Election,Miles MacDonnell,,Anne JOROWSKI,Office of Councillor,2235,Yes
October 26 1995,General Election,Seven Oaks School Division,3,Dean TOKARIWSKI,Office of School Trustee,2377,No
October 26 1995,General Election,Seven Oaks School Division,2,Judy SILVER,Office of School Trustee,3347,Yes
October 26 1989,General Election,Winnipeg School Division,2,Maryann MIHYCHUK,Office of School Trustee,5539,Yes
October 27 2010,General Election,Fort Rouge-East Fort Garry,,Jenny GERBASI,Office of Councillor,9359,Yes
October 28 1992,General Election,Transcona-Springfield School Division,1,Shannon COUGHLIN,Office of School Trustee,1444,No
October 22 2014,General Election,Pembina Trails School Division,2,David JOHNSON,Office of School Trustee,8953,Yes
October 26 1989,General Election,St. Vital School Division,,Debra THERRIEN,Office of School Trustee,2466,No
October 23 1974,General Election,Booth,,Jim ERNST,Office of Councillor,0,Yes
October 28 1998,General Election,Transcona-Springfield School Division,1,Gary KOMADOWSKI,Office of School Trustee,1983,No
October 26 1989,General Election,Point Douglas,,John PRYSTANSKI,Office of Councillor,1295,Yes
June 22 2004,By-Election,Winnipeg,,Shirley TIMM-RUDOLPH,Office of Mayor,801,No
October 26 1977,General Election,Memorial,,Tom PAULLEY,Office of Councillor,949,No
October 23 1974,General Election,Grant Park,,Morris KAUFMAN,Office of Councillor,0,Yes
October 26 1989,General Election,St. Vital School Division,,Bob JORDON,Office of School Trustee,2488,No
October 26 1989,General Election,Norwood School Division,,Jean HART,Office of School Trustee,1529,Yes
October 26 1989,General Election,St. James-Assiniboia School Division,Silver Heights-Booth Ward,Connie MCLEAN,Office of School Trustee,2484,Yes
October 28 1992,General Election,Seven Oaks School Division,2,Jack SOLOMON,Office of School Trustee,2303,No
October 22 1986,General Election,St. Vital School Division,,Laurie HUDSON,Office of School Trustee,6158,Yes
October 22 1986,General Election,St. Vital School Division,,Lawrence HARRISON,Office of School Trustee,2481,No
October 26 1983,General Election,Seven Oaks School Division,3,Michael SAWKA,Office of School Trustee,4042,Yes
October 25 2006,General Election,St. James-Brooklands,,Scott FIELDING,Office of Councillor,4036,Yes
October 26 1983,General Election,Assiniboine South School Division,1,Ron STATHAM,Office of School Trustee,0,Yes
October 26 1989,General Election,Mynarski,,Charles BEARDY,Office of Councillor,195,No
October 26 1977,General Election,Miles MacDonnell,,Ron FRIESEN,Office of Councillor,1160,No
October 28 1992,General Election,St. Boniface School Division,,Carolyn DUHAMEL,Office of School Trustee,9438,Yes
October 22 2014,General Election,Winnipeg School Division,2,Andrew GAMBY,Office of School Trustee,1171,No
October 27 2010,General Election,St. James-Assiniboia School Division,King Edward-Deer Lodge Ward,Jennifer LAWSON,Office of School Trustee,3374,Yes
October 27 2010,General Election,Louis Riel School Division,3,Wayne RUFF,Office of School Trustee,6975,Yes
October 25 2006,General Election,Pembina Trails School Division,3,Rick HRUBENIUK,Office of School Trustee,2387,No
October 26 1977,General Election,Seven Oaks School Division,3,Jack RABER,Office of School Trustee,3487,Yes
October 22 2014,General Election,St. Boniface,,Matt ALLARD,Office of Councillor,15355,Yes
October 23 1974,General Election,Ross House,,James CAMPBELL,Office of Councillor,735,No
October 28 1992,General Election,St. Norbert,,John ANGUS,Office of Councillor,8383,Yes
October 22 2014,General Election,North Kildonan,,Andrew PODOLECKI,Office of Councillor,1350,No
October 26 1995,General Election,Seven Oaks School Division,3,Robert RAUSCHER,Office of School Trustee,1217,No
October 27 2010,General Election,Winnipeg,,Rav GILL,Office of Mayor,1775,No
October 26 1977,General Election,Springfield Heights,,Joseph HOOPER,Office of Councillor,219,No
October 23 2002,General Election,Pembina Trails School Division,2,David JOHNSON,Office of School Trustee,6073,Yes
October 23 1974,General Election,Tuxedo Heights,,Mel BORLAND,Office of Councillor,837,No
October 22 2014,General Election,St. Vital,,Glenn CHURCHILL,Office of Councillor,3999,No
October 22 1986,General Election,Winnipeg School Division,1,Jackie A. RITCHIE,Office of School Trustee,4272,No
October 22 1986,General Election,Assiniboine South School Division,2,Rita STOCK,Office of School Trustee,1093,No
June 22 2004,By-Election,Winnipeg,,Sam KATZ,Office of Mayor,99015,Yes
October 27 2010,General Election,Charleswood-Tuxedo,,Timothy MARTIN,Office of Councillor,3442,No
October 22 1986,General Election,Fort Garry School Division,2,Kathy MCKIBBIN,Office of School Trustee,975,Yes
October 23 1974,General Election,Seven Oaks School Division,3,William KORYTOWSKI,Office of School Trustee,1884,No
October 22 1986,General Election,Fort Garry School Division,1,Felicite WARNER,Office of School Trustee,966,Yes
October 28 1992,General Election,Transcona-Springfield School Division,1,Mary ANDREE,Office of School Trustee,3075,Yes
October 22 1980,General Election,Winnipeg,,Chris SWAN,Office of Mayor,1302,No
October 26 1989,General Election,Pembina-Riverview,,Don GERRIE,Office of Councillor,2327,No
October 28 1998,General Election,Charleswood-Fort Garry,,Bill CLEMENT,Office of Councillor,13041,Yes
October 26 1989,General Election,Henderson,,Chris CASSIDY,Office of Councillor,1133,No
October 28 1998,General Election,Fort Garry School Division,3,Stan BOYCHUK,Office of School Trustee,1475,No
October 28 1998,General Election,St. James-Assiniboia School Division,Silver Heights-Booth Ward,Stephen SCHULTZ,Office of School Trustee,1897,No
October 28 1992,General Election,St. Vital School Division,,Joy WRIGHT,Office of School Trustee,9970,Yes
October 26 1983,General Election,Winnipeg School Division,3,Doris FEDUN,Office of School Trustee,4174,No
October 23 1974,General Election,Cathedral,,Joe SMITH,Office of Councillor,279,No
October 28 1992,General Election,Transcona-Springfield School Division,1,Royce HANSON,Office of School Trustee,1345,No
October 22 1986,General Election,River East School Division,3,Don TYMKO,Office of School Trustee,3540,Yes
October 22 2014,General Election,Winnipeg School Division,4,Iggy GRINEVSKY,Office of School Trustee,833,No
October 22 2014,General Election,Winnipeg School Division,6,Cathy COLLINS,Office of School Trustee,2843,Yes
October 22 1986,General Election,Fort Garry School Division,2,Marv MINIELY,Office of School Trustee,143,No
October 25 2006,General Election,Seven Oaks School Division,3,Roberta MARSH,Office of School Trustee,1803,No
October 23 1974,General Election,Fort Garry School Division,2,Gilbert PAUL,Office of School Trustee,902,Yes
October 27 2010,General Election,Seven Oaks School Division,2,Cory JUAN,Office of School Trustee,4440,Yes
October 28 1992,General Election,North Kildonan,,Terry DUGUID,Office of Councillor,11654,Yes
October 27 2010,General Election,Daniel McIntyre,,Lito TARUC,Office of Councillor,1824,No
October 26 1989,General Election,Seine Valley,,Ralph DOOLEY,Office of Councillor,953,No
October 23 1974,General Election,Cathedral,,Joseph ZUKEN,Office of Councillor,1303,Yes
