Boundary Type,Boundary Name,Boundary Number,Citizen Canadian,Citizen Non-Canadian,Citizen Total,Born Philippines,Born United Kingdom,Born Poland,Born Germany,Born India,Born Portugal,Born United States America,Born China Peoples Republic,Born Ukraine,Born All Other Country,Born Italy,Born Viet Nam,Born Netherlands,Born Jamaica,Born Hong Kong,Born Yugoslavia Other,Born Guyana,Born Croatia,Born Greece,Born Mexico,Born South Korea,Born France,Born Ireland,Born Austria,Born South Africa,Born Egypt,Born Taiwan,Born Switzerland,Born Morocco,Born Haiti,Born Lebanon,Born Other Country,Born Total Immigrants,Immigrate Before 1961,Immigrate 1961-1970,Immigrate 1971-1980,Immigrate 1981-1990,Immigrate 1991-1995,Immigrate 1996-2001,Immigrate Period Total,Immigrate 1991-2001,Generation 1st,Generation 2nd,Generation 3rd Or More,Generation Total Population,Immigrate Philippines,Immigrate India,Immigrate China Peoples Republic,Immigrate Ukraine,Immigrate South Korea,Immigrate United States America,Immigrate Pakistan,Immigrate Afghanistan,Immigrate All Other,Immigrate Bosnia Herzegovina,Immigrate United Kingdom,Immigrate Yugoslavia,Immigrate Viet Nam,Immigrate Croatia,Immigrate Russia,Immigrate Iraq,Immigrate Jamaica,Immigrate Iran,Immigrate Romania,Immigrate Colombia,Immigrate Mexico,Immigrate Hong Kong,Immigrate South Africa,Immigrate Sri Lanka,Immigrate Germany,Immigrate Congo,Immigrate France,Immigrate Haiti,Immigrate Lebanon,Immigrate Morocco,Immigrate Algeria,Immigrate Other,Immigrate Recent Total
Community Area,Fort Garry Community Area,3,58725,3350,62075,550,1120,355,390,855,160,610,1155,155,5690,540,175,220,120,545,45,230,50,50,70,130,30,60,45,20,85,115,35,0,20,0,3105,11035,1550,1850,2265,2195,1465,1710,11035,3175,11405,10940,27650,49995,65,145,415,45,100,75,55,0,820,50,25,0,10,0,35,25,0,40,55,0,15,20,0,25,20,0,10,0,0,0,0,490,1715
Community Area,Inkster Community Area,9,28155,1380,29530,4325,215,265,115,720,515,65,115,40,1775,65,455,50,120,50,0,60,120,0,20,0,15,0,15,0,0,0,10,0,0,10,785,8160,455,610,2605,2360,1290,845,8160,2135,7875,4410,10050,22335,545,165,0,0,0,15,0,15,105,0,0,0,15,35,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,35,845
Community Area,Point Douglas Community Area,10,35065,1360,36425,2820,290,890,365,35,345,125,90,520,1860,95,215,55,45,10,100,15,80,10,10,45,15,15,25,0,15,0,0,0,0,0,1110,7325,1385,695,1175,2145,1150,775,7320,1925,7115,5795,15035,27945,385,10,20,105,0,10,0,10,245,10,0,0,45,10,10,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,145,775
Community Area,River East Community Area,7,78265,2705,80970,550,1045,1260,1210,595,355,440,415,1075,6380,265,365,340,195,60,230,140,225,60,120,35,25,80,95,25,0,0,0,0,0,0,4120,13325,4245,1665,2145,2210,1535,1520,13325,3055,13060,17110,35070,65240,60,140,60,50,0,50,10,30,1100,160,50,60,0,85,25,0,15,0,10,70,15,0,10,0,30,10,0,0,0,0,0,560,1525
Community Area,River Heights Community Area,12,54250,1985,56240,695,1465,450,355,130,85,705,185,135,4020,545,110,190,95,80,100,80,45,110,60,90,65,85,35,105,55,10,10,25,0,0,2125,8225,2035,1485,1455,1470,790,990,8230,1780,8430,11885,27690,48005,80,45,70,25,70,30,10,25,635,50,115,20,20,15,40,0,0,0,25,0,0,0,25,25,10,0,0,0,0,0,0,290,995
Community Area,Seven Oaks Community Area,8,48990,2555,51545,3485,525,2050,570,1255,1470,215,140,715,3470,510,245,100,225,55,110,120,265,40,0,0,40,20,50,30,0,0,10,10,0,0,1640,13905,2730,1970,3675,3010,1215,1310,13910,2525,13720,11305,16760,41780,520,280,15,70,0,20,20,0,395,20,30,10,50,10,15,0,50,0,0,0,0,10,0,0,0,0,0,0,0,0,0,200,1310
Community Area,St. Boniface Community Area,5,44730,865,45595,305,630,325,325,195,120,245,140,50,2440,215,85,130,120,75,20,55,20,45,50,60,140,10,35,20,15,20,0,20,10,0,1295,4765,1200,855,1035,870,385,420,4765,805,4735,7330,25005,37075,60,15,25,0,10,20,0,0,315,85,10,10,0,0,0,0,35,10,0,30,40,0,10,0,0,0,10,0,0,0,0,75,420
Community Area,St. James - Assiniboia Community Area,1,57495,1090,58585,355,1355,320,510,175,85,345,125,110,2470,265,65,195,40,80,105,15,15,255,35,25,50,70,15,20,0,0,10,0,0,10,1200,5875,1935,1205,1070,890,345,430,5880,775,6055,12295,30275,48625,90,50,25,15,0,25,35,0,170,10,10,30,0,0,0,0,0,15,0,0,0,0,0,0,0,30,0,0,0,0,0,75,435
Community Area,St. Vital Community Area,4,57990,1855,59840,330,1220,395,500,360,55,375,275,180,3715,200,110,180,150,215,140,95,30,10,75,30,55,60,20,25,15,15,25,20,20,0,2225,7420,1645,1210,1495,1165,810,1090,7420,1900,7345,10470,30120,47935,40,135,65,90,25,15,25,60,650,75,60,85,10,0,30,15,10,20,30,0,10,10,0,0,10,15,10,15,0,10,0,235,1090
Community Area,Transcona Community Area,6,29615,640,30255,335,450,175,225,55,70,160,10,55,1375,155,40,185,65,25,35,25,35,0,10,0,0,0,35,0,0,0,10,0,0,0,755,2895,680,555,730,465,300,155,2900,455,2920,5740,15090,23750,35,0,0,0,0,20,0,0,90,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,160
City,City of Winnipeg,1,586020,24430,610455,20030,10050,7070,5400,4890,4855,4135,3470,3385,42465,3380,3290,1825,1540,1495,1135,1075,1010,850,505,500,490,480,425,410,215,165,160,95,70,30,23320,105750,20985,14515,22130,21990,12855,13270,105750,26125,105300,114105,274335,493735,3135,1125,985,425,240,370,200,150,6635,500,380,335,300,210,195,190,175,160,140,115,115,100,100,95,90,65,40,20,20,20,15,3255,13270
City,Downtown Winnipeg,5,11115,1705,12820,630,205,110,105,35,20,90,290,15,2200,15,200,30,50,95,50,50,60,30,10,0,20,10,0,20,0,0,0,10,10,0,1540,3725,390,240,490,810,730,1065,3720,1795,3930,2200,5545,11680,145,20,65,0,0,10,10,20,795,20,10,10,40,60,0,90,20,60,0,0,0,55,0,10,0,10,0,0,0,10,15,385,1060
City,Inner City,3,112100,7570,119670,7710,1415,1365,850,410,1450,815,875,665,10960,385,1585,265,410,210,390,275,240,140,105,160,150,55,80,75,65,10,25,30,10,0,6295,26525,3690,2355,4695,6715,4530,4540,26525,9070,26195,18840,52690,97720,1225,150,315,100,70,65,60,30,2510,115,70,125,155,105,15,125,60,80,30,85,30,55,10,45,15,10,0,0,0,10,15,1355,4540
City,Non-Inner City,4,473920,16865,490780,12320,8635,5700,4545,4475,3400,3320,2600,2720,31495,2995,1705,1560,1125,1285,750,800,775,710,405,335,340,420,345,340,145,155,130,65,60,25,17025,79220,17295,12160,17435,15280,8325,8725,79220,17050,79105,95255,221650,396015,1905,985,670,330,165,305,145,120,4095,385,310,215,145,100,180,65,110,80,105,30,85,45,85,50,70,55,35,20,25,10,0,1890,8725
City,Winnipeg Census Metropolitan Area,2,636705,25025,661730,20105,10665,7465,5985,4915,4940,4390,3470,3510,43950,3490,3290,2120,1550,1495,1190,1075,1075,860,565,500,520,530,480,425,215,165,200,95,75,45,23990,109390,22465,15295,22680,22540,12985,13415,109390,26400,109020,122510,301820,533360,3150,1125,990,425,240,395,205,150,6720,495,405,335,300,210,205,185,175,160,140,115,115,100,95,95,90,60,40,20,20,15,15,3330,13415
